id,name,slug,description,base_price_cents,category_id,sku,is_active
54fb6ccd-fe69-4ead-850a-4defe036e70f,Comfort Colors Garment Dyed Fleece Blanket,comfort-colors-garment-dyed-fleece-blanket-54fb,Imported product: Comfort Colors Garment Dyed Fleece Blanket,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-AAD535E3,true
7903ce57-f6cb-430d-b08d-7a9aa06cb396,Full Color Recycled Combo Multi-Tool Set,full-color-recycled-combo-multi-tool-set-7903,Imported product: Full Color Recycled Combo Multi-Tool Set,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-0D54EC8F,true
ae740cda-0c71-4f63-978e-fd5b07a7a06d,Recycled Spiral Filament 80 Lumens Lantern Flashlight,recycled-spiral-filament-80-lumens-lantern-flashlight-ae74,Imported product: Recycled Spiral Filament 80 Lumens Lantern Flashlight,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-BD16FD0C,true
09c26d46-6536-4b3b-9c5d-051620406546,Mini Spiral Filament 100 Lumens Lantern Flashlight,mini-spiral-filament-100-lumens-lantern-flashlight-09c2,Imported product: Mini Spiral Filament 100 Lumens Lantern Flashlight,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-CA79D540,true
966246b0-f098-4e27-9c43-739cb9b4fff3,Recycled Heathered Picnic Blanket,recycled-heathered-picnic-blanket-9662,Imported product: Recycled Heathered Picnic Blanket,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-0194508F,true
dd11d7aa-9ef0-417f-92bb-b59de54953ef,"Vertical Recycled 15"" Computer Messenger Bag",vertical-recycled-15-computer-messenger-bag-dd11,"Imported product: Vertical Recycled 15"" Computer Messenger Bag",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-6442D581,true
0fa6f667-0549-45d1-8fd8-5cc7a8c63087,Ares Recycled Non-Woven 12 Can Lunch Cooler,ares-recycled-non-woven-12-can-lunch-cooler-0fa6,Imported product: Ares Recycled Non-Woven 12 Can Lunch Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-EED667CF,true
49636524-8bb4-4767-ad13-4bbe6a7effc8,Full Color Recycled Cooling Towel with Travel Pouch,full-color-recycled-cooling-towel-with-travel-pouch-4963,Imported product: Full Color Recycled Cooling Towel with Travel Pouch,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-723D8875,true
d2595f15-991e-4125-a559-2b778fa0be23,Bamboo Golf Buddy,bamboo-golf-buddy-d259,Imported product: Bamboo Golf Buddy,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-6769B862,true
53a2a37f-66b8-492c-abf4-9801db3b0fa5,Break Time Recycled 24 Can Event Cooler,break-time-recycled-24-can-event-cooler-53a2,Imported product: Break Time Recycled 24 Can Event Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-7EACF5A6,true
21799fb3-5ae5-4151-8fdc-59aedc08b42b,Vila Recycled 12 Can Lunch Cooler,vila-recycled-12-can-lunch-cooler-2179,Imported product: Vila Recycled 12 Can Lunch Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-7BE0AB38,true
e4a435e4-4ae9-4c51-9c7c-6f1ceff3ea9b,Brix Recycled Backpack,brix-recycled-backpack-e4a4,Imported product: Brix Recycled Backpack,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-6FBD6668,true
